tagh,gin,shintip,norakaruyc,verelak,senyak,sanhanguyc,makeres,patshgamb,veranorogum,tan_hark,shenqi_hark
Avan,185000,monolit,1,1,4,2,121,2,good_cond,6,14
Avan,72000,panelayin,0,1,4,1,90,1,norm_cond,8,9
Avan,110000,monolit,1,1,3,2,103,2,good_cond,12,14
Avan,95000,panelayin,0,1,3,1,79,1,good_cond,7,9
Avan,40000,panelayin,0,1,1,1,46,0,norm_cond,1,9
Avan,137500,monolit,1,1,4,2,122,2,good_cond,13,14
Avan,70000,panelayin,0,1,3,1,64,0,good_cond,5,9
Avan,167000,monolit,1,0,4,3,120,2,good_cond,3,4
Davitashen,138000,monolit,1,1,2,1,67,1,good_cond,7,16
Davitashen,109000,monolit,1,1,3,2,117,0,bad_cond,14,14
Davitashen,77000,monolit,1,1,3,1,62,2,good_cond,8,11
Davitashen,240000,monolit,1,1,4,3,196,2,good_cond,5,12
Davitashen,195000,monolit,1,1,3,1,142,2,good_cond,8,11
Davitashen,99000,monolit,1,1,2,1,76,2,good_cond,11,11
Davitashen,210000,monolit,1,1,4,2,152,2,good_cond,3,14
Davitashen,128000,monolit,1,1,4,2,138,2,good_cond,12,14
Davitashen,115000,monolit,1,1,3,1,85,1,good_cond,8,14
Davitashen,90000,monolit,1,1,2,1,72,1,good_cond,2,12
Davitashen,100000,panelayin,0,1,3,1,97,1,good_cond,6,9
Davitashen,67000,panelayin,0,1,2,1,62,0,good_cond,5,14
Davitashen,64000,panelayin,0,1,2,1,67,0,good_cond,4,9
Davitashen,130000,monolit,1,1,4,1,105,1,good_cond,6,14
Davitashen,158000,monolit,1,1,4,3,130,2,good_cond,11,11
Davitashen,109000,monolit,1,1,3,2,117,0,bad_cond,14,14
Davitashen,165000,monolit,1,1,5,3,180,2,bad_cond,14,15
Davitashen,54000,monolit,1,1,2,2,53,0,bad_cond,14,15
Davitashen,76000,monolit,1,1,3,1,78,1,norm_cond,11,12
Davitashen,136500,monolit,1,1,3,2,155,2,bad_cond,10,12
Davitashen,59000,monolit,1,0,2,1,66,0,bad_cond,1,3
Davitashen,290000,monolit,1,1,4,3,143,2,good_cond,11,15
Davitashen,129000,monolit,1,1,3,1,70,1,good_cond,12,16
Davitashen,95000,panelayin,0,1,3,1,76,0,good_cond,1,9
Erebuni,47000,qare,0,0,1,1,32,0,good_cond,3,5
Erebuni,67000,qare,0,1,3,1,80,2,bad_cond,3,6
Erebuni,41000,qare,0,0,1,1,30,0,good_cond,1,5
Erebuni,34000,panelayin,0,1,2,1,43,1,norm_cond,3,9
Erebuni,40000,qare,0,0,3,1,80,0,norm_cond,1,2
Qanaqer Zeytun,33000,qare,0,0,1,1,32,1,bad_cond,4,5
Qanaqer Zeytun,145000,monolit,1,1,3,2,88,1,good_cond,8,15
Qanaqer Zeytun,125000,monolit,1,1,3,2,110,1,good_cond,12,16
Qanaqer Zeytun,43000,qare,0,0,2,1,31,1,good_cond,5,5
Qanaqer Zeytun,58000,qare,0,0,3,1,73,0,good_cond,1,5
Qanaqer Zeytun,75000,panelayin,0,1,3,1,77,1,norm_cond,5,9
Qanaqer Zeytun,75000,qare,0,0,3,1,75,1,good_cond,5,5
Qanaqer Zeytun,59900,panelayin,0,1,3,1,64,0,good_cond,9,9
Qanaqer Zeytun,105000,monolit,1,1,3,1,85,2,good_cond,11,14
Qanaqer Zeytun,105000,monolit,1,1,3,1,85,2,good_cond,11,14
Qanaqer Zeytun,155000,monolit,1,1,4,2,140,0,good_cond,10,15
