public_id,price_amd,price_per_sqm_amd,total_area,living_area,kitchen_area,rooms,bathrooms,ceiling_height,floor,balcony_count,has_loggia,has_parking,has_storage,condition,heating,ownership_docs,lat,lon,building_type,construction_year,total_floors,has_elevator,seismic_retrofit,district_slug
Y21-07586A45,93203000,770273,121,,,4,2,,6,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,avan
Y21-6126C140,36273600,403040,90,,,4,1,,8,1,,,,GOOD,,,,,PANEL,,9,true,,avan
Y21-8AB07969,55418000,538039,103,,,3,2,,12,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,avan
Y21-F8126BF2,47861000,605835,79,,,3,1,,7,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,avan
Y21-4363ED84,20152000,438087,46,,,1,1,,1,0,,,,GOOD,,,,,PANEL,,9,true,,avan
Y21-D17000FB,69272500,567807,122,,,4,2,,13,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,avan
Y21-BE6A1D4B,35266000,551031,64,,,3,1,,5,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,avan
Y21-335F6B64,84134600,701122,120,,,4,3,,3,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,4,false,,avan
Y21-45D5299D,69524400,1037678,67,,,2,1,,7,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,16,true,,davtashen
Y21-A1ADD2BC,54914200,469352,117,,,3,2,,14,0,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,14,true,,davtashen
Y21-2CDED493,38792600,625687,62,,,3,1,,8,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,11,true,,davtashen
Y21-CFF099A9,120912000,616898,196,,,4,3,,5,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,davtashen
Y21-B7ACB55C,98241000,691838,142,,,3,1,,8,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,11,true,,davtashen
Y21-EB104274,49876200,656266,76,,,2,1,,11,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,11,true,,davtashen
Y21-ED908377,105798000,696039,152,,,4,2,,3,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,davtashen
Y21-44F85182,64486400,467293,138,,,4,2,,12,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,davtashen
Y21-113401DD,57937000,681612,85,,,3,1,,8,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,davtashen
Y21-FEA2CFA1,45342000,629750,72,,,2,1,,2,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,davtashen
Y21-70162C8E,50380000,519381,97,,,3,1,,6,1,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,davtashen
Y21-3D55C770,33754600,544429,62,,,2,1,,5,0,,,,EURO_RENOVATION,,,,,PANEL,,14,true,,davtashen
Y21-81BA6399,32243200,481242,67,,,2,1,,4,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,davtashen
Y21-46C82A57,65494000,623752,105,,,4,1,,6,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,davtashen
Y21-A38064F3,79600400,612311,130,,,4,3,,11,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,11,true,,davtashen
Y21-A0CCD907,54914200,469352,117,,,3,2,,14,0,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,14,true,,davtashen
Y21-B01B19AF,83127000,461817,180,,,5,3,,14,2,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,15,true,,davtashen
Y21-0313CD22,27205200,513306,53,,,2,2,,14,0,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,15,true,,davtashen
Y21-D01ED7CF,38288800,490882,78,,,3,1,,11,1,,,,GOOD,,,,,NEW_BUILD,,12,true,,davtashen
Y21-EE58BAFD,68768700,443669,155,,,3,2,,10,2,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,12,true,,davtashen
Y21-14A925D4,29724200,450367,66,,,2,1,,1,0,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,3,false,,davtashen
Y21-672F0DC8,146102000,1021692,143,,,4,3,,11,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,15,true,,davtashen
Y21-3CBF045B,64990200,928431,70,,,3,1,,12,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,16,true,,davtashen
Y21-3475D752,47861000,629750,76,,,3,1,,1,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,davtashen
Y21-CA3E4CEE,23678600,739956,32,,,1,1,,3,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,erebuni
Y21-39F20E63,33754600,421933,80,,,3,1,,3,2,,,,NEEDS_REPAIR,,,,,STONE,,6,true,,erebuni
Y21-142553D7,20655800,688527,30,,,1,1,,1,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,erebuni
Y21-7F4F4962,17129200,398353,43,,,2,1,,3,1,,,,GOOD,,,,,PANEL,,9,true,,erebuni
Y21-5783A87D,20152000,251900,80,,,3,1,,1,0,,,,GOOD,,,,,STONE,,2,false,,erebuni
Y21-55BFA8C9,16625400,519544,32,,,1,1,,4,1,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,kanaker-zeytun
Y21-72342C89,73051000,830125,88,,,3,2,,8,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,15,true,,kanaker-zeytun
Y21-AD498F5A,62975000,572500,110,,,3,2,,12,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,16,true,,kanaker-zeytun
Y21-E70A4EE6,21663400,698819,31,,,2,1,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kanaker-zeytun
Y21-DAE4078C,29220400,400279,73,,,3,1,,1,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kanaker-zeytun
Y21-DB4D842B,37785000,490714,77,,,3,1,,5,1,,,,GOOD,,,,,PANEL,,9,true,,kanaker-zeytun
Y21-C04F1AC8,37785000,503800,75,,,3,1,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kanaker-zeytun
Y21-BFB1B17F,30177620,471525,64,,,3,1,,9,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,kanaker-zeytun
Y21-D7D0D807,52899000,622341,85,,,3,1,,11,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kanaker-zeytun
Y21-58DAA38A,52899000,622341,85,,,3,1,,11,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kanaker-zeytun
Y21-3EFD88AA,78089000,557779,140,,,4,2,,10,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,15,true,,kanaker-zeytun
Y21-28ADD77F,95722000,683729,140,,,4,2,,10,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kanaker-zeytun
Y21-DAE3AB81,42823000,428230,100,,,4,1,,5,1,,,,GOOD,,,,,STONE,,5,false,,kanaker-zeytun
Y21-B3A0FD9A,43830600,569229,77,,,3,1,,3,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kanaker-zeytun
Y21-9945B5B5,41059700,586567,70,,,2,1,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kanaker-zeytun
Y21-9E638482,85646000,586616,146,,,4,2,,12,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,15,true,,kanaker-zeytun
Y21-58DB7095,47861000,576639,83,,,3,1,,6,0,,,,EURO_RENOVATION,,,,,STONE,,7,true,,kanaker-zeytun
Y21-1268DC52,31235600,410995,76,,,3,1,,6,1,,,,NEEDS_REPAIR,,,,,PANEL,,12,true,,kanaker-zeytun
Y21-B46FBD38,20655800,389732,53,,,2,1,,6,1,,,,NEEDS_REPAIR,,,,,STONE,,6,true,,kanaker-zeytun
Y21-4098B9E8,36777400,557233,66,,,3,1,,3,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,kanaker-zeytun
Y21-7F85F0C5,31739400,299428,106,,,4,1,,6,1,,,,GOOD,,,,,PANEL,,9,true,,kanaker-zeytun
Y21-28E4FB71,52899000,551031,96,,,3,2,,3,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kanaker-zeytun
Y21-41183BCA,55418000,307878,180,,,5,2,,5,2,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,kanaker-zeytun
Y21-3DD34CA0,88165000,608034,145,,,4,2,,5,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,15,true,,kanaker-zeytun
Y21-8897F587,64486400,537387,120,,,4,1,,4,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,kanaker-zeytun
Y21-77E1E0F6,43830600,456569,96,,,4,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kanaker-zeytun
Y21-BCD1B271,32747000,454819,72,,,3,1,,3,1,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,kanaker-zeytun
Y21-07479442,14610200,456569,32,,,1,1,,2,0,,,,NEEDS_REPAIR,,,,,STONE,,7,true,,kanaker-zeytun
Y21-F5D07125,65494000,600862,109,,,3,2,,3,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kanaker-zeytun
Y21-B648DD3F,103279000,853545,121,,,3,2,,11,3,,,,EURO_RENOVATION,,,,,NEW_BUILD,,17,true,,kentron
Y21-C70137F7,125950000,1188208,106,,,4,2,,7,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,9,true,,kentron
Y21-ED0367F2,60456000,1286298,47,,,2,1,,4,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,13,true,,kentron
Y21-C389E562,65494000,935629,70,,,2,1,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-43CA2C72,100760000,1399444,72,,,3,1,,2,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,kentron
Y21-EF00073D,100760000,1399444,72,,,3,1,,2,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,kentron
Y21-12B536A3,108317000,2166340,50,,,2,1,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,17,true,,kentron
Y21-F94F8413,115874000,1504857,77,,,2,1,,13,1,,,,GOOD,,,,,NEW_BUILD,,16,true,,kentron
Y21-1AFCD44B,80608000,1074773,75,,,3,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-7928740B,146102000,1217517,120,,,3,2,,3,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kentron
Y21-9B32BBA6,100760000,730145,138,,,4,1,,3,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,kentron
Y21-0A8EAB0E,103279000,853545,121,,,3,2,,10,2,,,,EURO_RENOVATION,,,,,NEW_BUILD,,17,true,,kentron
Y21-6CAB738B,110836000,1273977,87,,,2,1,,12,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kentron
Y21-090DF53C,130988000,1190800,110,,,2,1,,8,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,18,true,,kentron
Y21-409B6F5C,122927200,1429386,86,,,3,1,,3,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-AC1D982F,35215620,733659,48,,,1,1,,9,1,,,,NEEDS_REPAIR,,,,,PANEL,,9,true,,kentron
Y21-A0766BE4,44787820,658644,68,,,2,1,,5,1,,,,NEEDS_REPAIR,,,,,STONE,,5,false,,kentron
Y21-8B10E709,125950000,1145000,110,,,3,2,,7,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,10,true,,kentron
Y21-C1FD25F7,100760000,575771,175,,,4,3,,10,3,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,14,true,,kentron
Y21-A9FAA47E,125950000,1447701,87,,,2,2,,11,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kentron
Y21-441744A2,36777400,897010,41,,,1,1,,4,0,,,,NEEDS_REPAIR,,,,,PANEL,,9,true,,kentron
Y21-3FF3BFDC,70532000,916000,77,,,3,1,,2,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-C1AB08A1,146102000,1090313,134,,,4,1,,4,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,kentron
Y21-2B60460B,125950000,1272222,99,,,3,1,,3,3,,,,EURO_RENOVATION,,,,,NEW_BUILD,,17,true,,kentron
Y21-4F809064,88165000,1049583,84,,,3,2,,5,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-C8C4A81F,54914200,980611,56,,,2,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-3B8CA692,78089000,976113,80,,,3,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,kentron
Y21-C96E9D4C,85646000,1044463,82,,,3,1,,4,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-05453E52,38792600,1212269,32,,,1,1,,5,0,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-D4676086,45342000,1133550,40,,,2,1,,2,1,,,,EURO_RENOVATION,,,,,STONE,,4,false,,kentron
Y21-DE7EA168,88165000,881650,100,,,3,2,,3,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,5,false,,kentron
Y21-FBE98520,100760000,757594,133,,,5,2,,4,3,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-C7A6002D,130988000,1190800,110,,,3,3,,10,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,13,true,,kentron
Y21-3884B7D1,125950000,1259500,100,,,3,2,,2,1,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-BB0D43D9,125950000,1481765,85,,,3,2,,2,2,,,,EURO_RENOVATION,,,,,STONE,,5,false,,kentron
Y21-36FB3FAD,113355000,1333588,85,,,3,1,,7,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,12,true,,kentron
Y21-FC7F9B60,84638400,613322,138,,,4,1,,4,0,,,,EURO_RENOVATION,,,,,STONE,,4,false,,kentron
Y21-61E9B9E7,146102000,1217517,120,,,3,2,,3,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,14,true,,kentron
